Start Time,Url,Status Code,File Size,Operation,Time Delay,End Time,Elapsed Time
"19/09/2023, 13:55:59.724261",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=47,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:00.877788",1.153526782989502
"19/09/2023, 13:56:01.112166",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=48,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:01.784110",0.6719436645507812
"19/09/2023, 13:56:01.830907",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=49,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:02.893844",1.062936544418335
"19/09/2023, 13:56:02.940718",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=50,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:04.099528",1.1588099002838135
"19/09/2023, 13:56:04.177329",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=51,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:04.896519",0.7191894054412842
"19/09/2023, 13:56:04.974667",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=52,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:06.090871",1.1162035465240479
"19/09/2023, 13:56:06.145075",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=53,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:07.452059",1.306983470916748
"19/09/2023, 13:56:07.517752",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=54,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:08.276088",0.758336067199707
"19/09/2023, 13:56:08.336817",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=55,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:09.299737",0.9629197120666504
"19/09/2023, 13:56:09.366605",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=56,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:10.514142",1.1475369930267334
"19/09/2023, 13:56:10.570874",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=57,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:11.258435",0.6875607967376709
"19/09/2023, 13:56:11.315028",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=58,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:12.358344",1.0433154106140137
"19/09/2023, 13:56:12.415725",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=59,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:13.139596",0.7238705158233643
"19/09/2023, 13:56:13.197061",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=60,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:14.743930",1.5468688011169434
"19/09/2023, 13:56:14.832264",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=61,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:16.094980",1.2627160549163818
"19/09/2023, 13:56:16.153748",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=62,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:16.884802",0.7310543060302734
"19/09/2023, 13:56:16.999398",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=63,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:18.092763",1.0923304557800293
"19/09/2023, 13:56:18.156194",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=64,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:19.895929",1.7397346496582031
"19/09/2023, 13:56:19.951868",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=65,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:21.217191",1.2653234004974365
"19/09/2023, 13:56:21.286160",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=66,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:22.009188",0.7220549583435059
"19/09/2023, 13:56:22.067098",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=67,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:23.437809",1.370711088180542
"19/09/2023, 13:56:23.502740",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=68,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:24.763999",1.261258840560913
"19/09/2023, 13:56:24.830291",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=69,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:26.017440",1.1871490478515625
"19/09/2023, 13:56:26.080859",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=70,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:27.174848",1.093989372253418
"19/09/2023, 13:56:27.232120",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=71,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:29.262198",2.030078411102295
"19/09/2023, 13:56:29.320913",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=72,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:30.036910",0.7159972190856934
"19/09/2023, 13:56:30.094619",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=73,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:31.265431",1.1708121299743652
"19/09/2023, 13:56:31.325532",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=74,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:32.576877",1.251345157623291
"19/09/2023, 13:56:32.635244",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=75,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:33.759634",1.124389886856079
"19/09/2023, 13:56:33.818896",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=76,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:34.542642",0.7237462997436523
"19/09/2023, 13:56:34.652116",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=77,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:35.328493",0.6763770580291748
"19/09/2023, 13:56:35.413454",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=78,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:36.522367",1.1089131832122803
"19/09/2023, 13:56:36.593503",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=79,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:37.691148",1.0976450443267822
"19/09/2023, 13:56:37.753144",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=80,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:38.397326",0.6441826820373535
"19/09/2023, 13:56:38.456779",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=81,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:39.857283",1.4015533924102783
"19/09/2023, 13:56:39.915620",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=82,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:40.674571",0.7589502334594727
"19/09/2023, 13:56:40.732867",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=83,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:41.659030",0.9261627197265625
"19/09/2023, 13:56:41.720605",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=84,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:42.383006",0.6624019145965576
"19/09/2023, 13:56:42.442576",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=85,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:43.712053",1.269477128982544
"19/09/2023, 13:56:43.768902",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=86,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:44.618399",0.8494970798492432
"19/09/2023, 13:56:44.677672",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=87,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:45.434034",0.7563631534576416
"19/09/2023, 13:56:45.493095",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=88,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:46.688728",1.1956326961517334
"19/09/2023, 13:56:46.761398",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=89,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:48.537128",1.7757296562194824
"19/09/2023, 13:56:48.597901",https://www.studiesinaustralia.com/universities-colleges-tafes-schools/search/results?location=QLD&organisation_cricos_not_null=1&page=90,200,80 KB,Get universities or institution url,0 sec,"19/09/2023, 13:56:49.467043",0.8691415786743164
